Namespace,PVC Name,Requested (GiB),Actual (GiB),Used %,New GiB
artifactory,artifactory-volume-artifactory-0,150,18.146,12.0,37
artifactory,data-artifactory-postgresql-0,50,1.913,3.8,3
cnpg-system,shared-postgres-1,10,.467,4.6,1
cnpg-system,shared-postgres-1-wal,5,2.172,43.4,3
cnpg-system,shared-postgres-2,10,.376,3.7,1
cnpg-system,shared-postgres-2-wal,5,2.141,42.8,3
cnpg-system,shared-postgres-3,10,.374,3.7,1
cnpg-system,shared-postgres-3-wal,5,2.411,48.2,4
default,data-volume-new-new-boplats-database-2,9.314,2.083,22.3,3
default,logs-volume-new-new-boplats-database-0,0,.501,N/A,1
default,logs-volume-new-new-boplats-database-2,0,1.776,N/A,3
default,media-data,10,.223,2.2,1
default,sonarr-3-config,10,0,0,0
default,sonarr-4-config,10,0,0,0
default,sonarr-5-config,10,0,0,0
default,sonarr-6-config,10,0,0,0
default,zero-cache-data,2,.178,8.9,1
gitlab,data-gitlab-postgresql-0,20,1.042,5.2,2
gitlab,gitlab-minio,30,13.054,43.5,17
gitlab,redis-data-gitlab-redis-master-0,10,.814,8.1,2
gitlab,repo-data-gitlab-gitaly-0,50,1.611,3.2,3
immich,immich-db-pvc-immich-postgres-0,10,6.680,66.8,9
immich,immich-model-cache-immich-machine-learning-0,10,.223,2.2,1
llm-switchboard,llm-switchboard-data,1,.050,5.0,1
media,arr-dashboard-config,1,1.121,112.1,2
media,bazarr-config-pvc-bazarr-0,5,1.318,26.3,2
media,checkrr-config-pvc-checkrr-0,5,.223,4.4,1
media,jellyfin-config-pvc-jellyfin-0-v2,40,29.197,72.9,38
media,prowlarr-config-pvc-prowlarr-0,2,2.139,106.9,3
media,radarr-1-config,30,17.079,56.9,23
media,radarr-10-config,10,1.662,16.6,3
media,radarr-11-config,10,1.901,19.0,3
media,radarr-12-config,10,1.077,10.7,2
media,radarr-2-config,30,13.443,44.8,18
media,radarr-3-config,30,2.379,7.9,4
media,radarr-4-config,10,1.354,13.5,2
media,radarr-5-config,10,1.403,14.0,2
media,radarr-6-config,10,1.475,14.7,2
media,radarr-7-config,10,1.333,13.3,2
media,radarr-8-config,10,1.354,13.5,2
media,radarr-9-config,10,1.366,13.6,2
media,reiverr-config-pvc-reiverr-0,10,.246,2.4,1
media,reiverr-plugins-pvc-reiverr-0,10,.261,2.6,1
media,seerr-config,2,.261,13.0,1
media,sonarr-1-config,10,2.611,26.1,4
media,sonarr-2-config,10,1.974,19.7,3
media,sonarr-3-config,10,.684,6.8,1
media,sonarr-4-config,10,.635,6.3,1
media,sonarr-5-config,10,.651,6.5,1
media,sonarr-6-config,10,.803,8.0,2
minecraft,minecraft-data-pvc,20,.655,3.2,1
minecraft,minecraft-modpacks-pvc,5,.143,2.8,1
monitoring,alertmanager-kube-prometheus-stack-alertmanager-db-alertmanager-kube-prometheus-stack-alertmanager-0,10,.264,2.6,1
monitoring,gotify-data-pvc,5,.782,15.6,2
monitoring,kube-prometheus-stack-grafana,10,.328,3.2,1
monitoring,prometheus-kube-prometheus-stack-prometheus-db-prometheus-kube-prometheus-stack-prometheus-0,50,109.396,218.7,143
